Food type,methane gas level,humidity,temperature,spoiled or not spoiled,outcome
Rice,356,69,25.07,not spoiled,0
Rice,358,71,25.02,not spoiled,0
Rice,365,74,25.17,not spoiled,0
Rice,356,73,25.34,not spoiled,0
Rice,364,70,25.11,not spoiled,0
Rice,357,70,25.15,not spoiled,0
Rice,366,67,25.46,not spoiled,0
Rice,356,70,25.38,not spoiled,0
Rice,357,69,25.23,not spoiled,0
Rice,361,71,25.42,not spoiled,0
Rice,366,68,25.3,not spoiled,0
Rice,364,72,25.34,not spoiled,0
Rice,363,75,25.48,not spoiled,0
Rice,368,70,25.2,not spoiled,0
Rice,371,71,25.26,not spoiled,0
Rice,367,72,25.48,not spoiled,0
Rice,364,69,25.45,not spoiled,0
Rice,364,71,25.68,not spoiled,0
Rice,362,70,25.54,not spoiled,0
Rice,367,70,25.5,not spoiled,0
Rice,362,68,25.97,not spoiled,0
Rice,369,70,25.75,not spoiled,0
Rice,373,71,25.83,not spoiled,0
Rice,370,74,25.65,not spoiled,0
Rice,367,73,25.81,not spoiled,0
Rice,370,76,25.95,not spoiled,0
Rice,374,68,25.8,not spoiled,0
Rice,374,73,26.06,not spoiled,0
Rice,366,71,25.96,not spoiled,0
Rice,371,77,26.04,not spoiled,0
Rice,370,68,26.03,not spoiled,0
Rice,373,67,26.44,not spoiled,0
Rice,372,68,26.19,not spoiled,0
Rice,364,64,26.07,not spoiled,0
Rice,370,68,26.39,not spoiled,0
Rice,372,68,26.12,not spoiled,0
Rice,368,70,26.38,not spoiled,0
Rice,374,71,26.09,not spoiled,0
Rice,368,76,26.22,not spoiled,0
Rice,371,73,26.49,not spoiled,0
Rice,377,68,26.61,not spoiled,0
Rice,371,67,26.56,not spoiled,0
Rice,376,71,26.55,not spoiled,0
Rice,369,66,26.56,not spoiled,0
Rice,381,75,26.42,not spoiled,0
Rice,374,74,26.57,not spoiled,0
Rice,376,69,26.65,not spoiled,0
Rice,376,65,26.91,not spoiled,0
Rice,378,74,26.84,not spoiled,0
Rice,372,70,26.57,not spoiled,0
Rice,377,74,26.92,not spoiled,0
Rice,375,65,26.85,not spoiled,0
Rice,372,68,26.84,not spoiled,0
Rice,381,70,27.07,not spoiled,0
Rice,377,70,27.17,not spoiled,0
Rice,379,69,27.19,not spoiled,0
Rice,379,72,26.97,not spoiled,0
Rice,378,67,27.08,not spoiled,0
Rice,385,70,27.22,not spoiled,0
Rice,380,70,27.35,not spoiled,0
Rice,376,72,27.17,not spoiled,0
Rice,379,72,27.25,not spoiled,0
Rice,382,67,27.15,not spoiled,0
Rice,383,65,27.17,not spoiled,0
Rice,378,74,27.51,not spoiled,0
Rice,385,71,27.63,not spoiled,0
Rice,377,68,27.45,not spoiled,0
Rice,386,75,27.65,not spoiled,0
Rice,379,70,27.59,not spoiled,0
Rice,383,74,27.48,not spoiled,0
Rice,387,70,27.67,not spoiled,0
Rice,384,76,27.88,not spoiled,0
Rice,387,75,27.68,not spoiled,0
Rice,386,69,27.96,not spoiled,0
Rice,389,73,27.37,not spoiled,0
Rice,388,72,27.93,not spoiled,0
Rice,384,74,27.85,not spoiled,0
Rice,388,67,27.83,not spoiled,0
Rice,382,72,27.93,not spoiled,0
Rice,386,73,27.65,not spoiled,0
Rice,389,65,27.96,not spoiled,0
Rice,388,66,28.08,not spoiled,0
Rice,389,64,28.28,not spoiled,0
Rice,387,69,28.02,not spoiled,0
Rice,392,72,28.02,not spoiled,0
Rice,388,75,28.1,not spoiled,0
Rice,388,70,28.35,not spoiled,0
Rice,392,75,28.3,not spoiled,0
Rice,385,66,28.21,not spoiled,0
Rice,391,65,28.4,not spoiled,0
Rice,387,70,28.38,not spoiled,0
Rice,394,71,28.54,not spoiled,0
Rice,390,70,28.33,not spoiled,0
Rice,392,64,28.42,not spoiled,0
Rice,393,70,28.45,not spoiled,0
Rice,386,66,28.33,not spoiled,0
Rice,390,72,28.63,not spoiled,0
Rice,396,71,28.66,not spoiled,0
Rice,396,67,28.66,not spoiled,0
Rice,394,68,28.66,not spoiled,0
Rice,390,67,28.52,not spoiled,0
Rice,396,70,28.71,not spoiled,0
Rice,396,73,28.76,not spoiled,0
Rice,395,67,28.73,not spoiled,0
Rice,399,72,28.86,not spoiled,0
Rice,393,68,28.98,not spoiled,0
Rice,394,68,29.24,not spoiled,0
Rice,389,70,29.02,not spoiled,0
Rice,399,67,29.07,not spoiled,0
Rice,398,68,29.06,not spoiled,0
Rice,392,66,28.82,not spoiled,0
Rice,392,76,29.14,not spoiled,0
Rice,395,70,29.19,not spoiled,0
Rice,400,68,29.59,not spoiled,0
Rice,397,71,29.23,not spoiled,0
Rice,396,70,29.34,not spoiled,0
Rice,396,69,29.33,not spoiled,0
Rice,396,72,29.2,not spoiled,0
Rice,394,72,29.58,not spoiled,0
Rice,396,68,29.56,not spoiled,0
Rice,397,68,29.6,not spoiled,0
Rice,403,69,29.38,not spoiled,0
Rice,401,63,29.77,not spoiled,0
Rice,399,65,29.38,not spoiled,0
Rice,409,74,29.72,not spoiled,0
Rice,400,75,30.0,not spoiled,0
Rice,406,69,29.56,not spoiled,0
Rice,408,72,29.66,not spoiled,0
Rice,398,71,29.8,not spoiled,0
Rice,404,79,29.74,not spoiled,0
Rice,402,73,29.62,not spoiled,0
Rice,402,70,29.9,not spoiled,0
Rice,406,67,29.77,not spoiled,0
Rice,403,65,30.04,spoiled,1
Rice,404,71,29.87,not spoiled,0
Rice,405,68,30.28,spoiled,1
Rice,405,66,29.96,not spoiled,0
Rice,403,68,30.07,spoiled,1
Rice,409,67,30.28,spoiled,1
Rice,410,75,30.01,spoiled,1
Rice,408,73,30.26,spoiled,1
Rice,406,70,30.46,spoiled,1
Rice,406,74,30.06,spoiled,1
Rice,406,70,30.37,spoiled,1
Rice,416,67,30.42,spoiled,1
Rice,412,75,30.53,spoiled,1
Rice,407,72,30.27,spoiled,1
Rice,410,67,30.29,spoiled,1
Rice,409,69,30.61,spoiled,1
Rice,412,67,30.61,spoiled,1
Rice,412,66,30.64,spoiled,1
Rice,414,73,30.69,spoiled,1
Rice,409,76,30.58,spoiled,1
Rice,412,66,30.75,spoiled,1
Rice,407,72,30.8,spoiled,1
Rice,408,68,30.68,spoiled,1
Rice,415,69,31.11,spoiled,1
Rice,410,68,30.94,spoiled,1
Rice,411,67,30.72,spoiled,1
Rice,414,70,31.04,spoiled,1
Rice,416,68,30.83,spoiled,1
Rice,411,71,31.13,spoiled,1
